no;keputusan;IPS2;bhs-inggris;metstat;metstat-p;matlan;pancasila;kwn;alpro;alpro-p;tekjau
1;TIDAK;3.24;A;AB;AB;D;AB;A;A;AB;B
2;TIDAK;3.13;A;AB;BC;D;A;A;AB;B;B
3;YA;3.58;A;A;BC;BC;AB;A;A;A;B
4;YA;3.58;A;A;A;C;AB;A;A;A;AB
5;YA;3.39;AB;A;AB;D;AB;A;A;A;AB
6;TIDAK;3.32;A;A;BC;D;A;A;AB;A;AB
7;YA;3.44;A;A;B;C;A;A;AB;A;B
8;YA;3.58;A;A;A;C;A;A;A;A;B
9;TIDAK;3.34;A;A;B;D;A;A;A;AB;B
10;YA;3.50;A;A;A;D;A;A;A;A;A
13;YA;3.67;A;A;AB;BC;AB;A;AB;A;AB
14;TIDAK;3.00;A;BC;BC;D;AB;A;AB;A;AB
16;YA;3.63;A;A;A;B;A;A;AB;AB;B
17;YA;3.42;A;A;AB;D;A;A;A;A;AB
18;YA;3.42;A;A;A;D;A;A;A;A;B
19;YA;3.47;A;A;A;D;A;A;A;A;AB
20;TIDAK;3.25;A;AB;A;D;A;A;AB;A;B
21;YA;3.61;A;A;A;C;A;A;A;A;AB
22;YA;3.79;A;A;A;B;A;A;A;A;AB
27;TIDAK;3.53;A;A;A;D;A;A;A;A;A
28;YA;3.92;A;A;A;AB;A;A;A;A;A
29;TIDAK;3.50;A;A;A;D;A;A;A;A;A
30;TIDAK;3.63;A;A;AB;C;A;A;A;AB;A
31;YA;3.61;A;A;A;C;A;A;AB;A;A
32;YA;3.47;A;A;A;D;A;A;A;A;AB
33;YA;3.39;A;A;BC;D;A;A;A;A;AB
35;YA;3.53;A;A;A;D;A;A;A;A;A
36;YA;3.68;A;A;A;BC;A;A;A;AB;AB
37;YA;3.84;A;A;A;B;A;A;A;A;A
39;YA;3.61;A;A;A;BC;A;A;A;AB;B
40;YA;3.44;A;A;A;D;A;A;A;A;AB
41;TIDAK;2.94;A;B;BC;D;A;A;BC;BC;AB
42;TIDAK;2.36;A;D;E;E;A;A;AB;BC;B
43;YA;3.92;A;A;AB;A;A;A;A;A;AB
44;TIDAK;3.42;A;A;AB;D;A;A;AB;A;A
45;TIDAK;3.68;A;A;A;C;A;A;A;A;A
46;YA;3.79;A;A;A;B;A;A;A;A;AB
49;TIDAK;3.68;A;A;A;C;A;A;A;A;A
50;TIDAK;3.29;AB;AB;A;D;A;A;A;A;B
51;YA;3.78;A;A;A;B;A;A;A;A;AB
52;TIDAK;3.50;A;A;A;D;A;A;A;AB;A
53;YA;3.69;A;A;A;BC;A;A;A;A;AB
54;TIDAK;3.34;A;AB;C;D;A;A;A;A;A
55;TIDAK;3.11;A;B;B;D;A;A;B;A;AB
56;TIDAK;3.55;A;A;AB;C;A;A;A;A;AB
60;TIDAK;3.17;A;AB;C;D;A;A;A;AB;B
61;TIDAK;3.47;A;AB;AB;D;A;A;A;AB;A
63;TIDAK;3.67;A;A;AB;BC;A;A;A;A;AB
64;TIDAK;3.55;A;A;BC;C;A;A;A;A;AB
65;YA;3.37;A;A;AB;C;A;A;A;AB;B
67;TIDAK;3.58;A;A;B;C;A;A;A;A;AB
69;TIDAK;3.47;A;AB;A;C;A;A;A;A;B
72;TIDAK;3.53;A;A;A;D;A;A;A;A;A
73;YA;3.56;A;A;A;C;A;A;A;A;B
75;TIDAK;3.68;A;A;A;C;A;A;A;A;A
79;YA;3.68;A;A;A;C;A;A;A;A;A
84;YA;3.58;A;A;A;C;A;AB;A;A;AB
87;TIDAK;3.47;A;A;B;D;A;A;A;A;A
